aesthetics,aesRound,memory,memRound,quality,quaRound,anomaly,anomalyRound,index
0.654426568,0.7,0.385658611,0.4,0.605249326,0.6,0.706923926,0.7,0
0.42650359,0.4,0.414125911,0.4,0.697309666,0.7,0.627723199,0.6,1
0.389079387,0.4,0.42555772,0.4,0.790196008,0.8,0.575996197,0.6,2
0.353416194,0.4,0.453510701,0.5,0.795200176,0.8,0.435358202,0.4,3
0.361035282,0.4,0.48440803,0.5,0.791857251,0.8,0.334590798,0.3,4
0.389557542,0.4,0.510363042,0.5,0.874145976,0.9,0.21676736,0.2,5
0.349904243,0.3,0.502789889,0.5,0.863754509,0.9,0.147982194,0.1,6
0.329242793,0.3,0.489719386,0.5,0.806875739,0.8,0.128684794,0.1,7
0.356014006,0.4,0.469766061,0.5,0.794242267,0.8,0.134101544,0.1,8
0.356947558,0.4,0.449821722,0.4,0.881546043,0.9,0.202130303,0.2,9
0.35367866,0.4,0.456782173,0.5,0.831635092,0.8,0.217554425,0.2,10
0.371930861,0.4,0.396826318,0.4,0.847553316,0.8,0.221681035,0.2,11
0.355968476,0.4,0.383932122,0.4,0.822263725,0.8,0.192140923,0.2,12
0.364978704,0.4,0.379763081,0.4,0.830200479,0.8,0.171437478,0.2,13
0.36464884,0.4,0.389557264,0.4,0.82426328,0.8,0.179201466,0.2,14
0.340189363,0.3,0.409722281,0.4,0.793316845,0.8,0.192421885,0.2,15
0.347504364,0.3,0.47369206,0.5,0.82028612,0.8,0.199889947,0.2,16
0.328256157,0.3,0.463129049,0.5,0.903274887,0.9,0.173108456,0.2,17
0.323399664,0.3,0.461607234,0.5,0.85103224,0.9,0.167350045,0.2,18
0.300310753,0.3,0.463279808,0.5,0.841602208,0.8,0.153982951,0.2,19
0.290149189,0.3,0.44406828,0.4,0.884293475,0.9,0.160307546,0.2,20
0.278720126,0.3,0.468207899,0.5,0.813331148,0.8,0.131345052,0.1,21
0.343019914,0.3,0.482236273,0.5,0.886398442,0.9,0.138782736,0.1,22
0.324452358,0.3,0.454435611,0.5,0.785093314,0.8,0.137231923,0.1,23
0.322395686,0.3,0.466899616,0.5,0.794473591,0.8,0.12572121,0.1,24
0.22508453,0.2,0.545763509,0.5,0.662305975,0.7,0.312551759,0.3,25
0.118624936,0.1,0.640468033,0.6,0.598958269,0.6,0.409665251,0.4,26
0.138060962,0.1,0.699010482,0.7,0.540847865,0.5,0.093882228,0.1,27
0.169530379,0.2,0.732044214,0.7,0.561019911,0.6,0.077965344,0.1,28
0.077812171,0.1,0.66882607,0.7,0.634023253,0.6,0.058435574,0.1,29
0.115297083,0.1,0.59591786,0.6,0.6535116,0.7,0,0,30
0.155126818,0.2,0.54373423,0.5,0.664313649,0.7,0.229242974,0.2,31
0.280762426,0.3,0.547317831,0.5,0.7290404,0.7,0.459434876,0.5,32
0.349671691,0.3,0.481223044,0.5,0.764103184,0.8,0.494311759,0.5,33
0.39228695,0.4,0.37611434,0.4,0.722142386,0.7,0.299940232,0.3,34
0.674309016,0.7,0.406999379,0.4,0.682253768,0.7,0.442262713,0.4,35
0.899993458,0.9,0.64004969,0.6,0.753186174,0.8,0.753815214,0.8,36
0.845131562,0.8,0.471859825,0.5,0.681139938,0.7,0.706214094,0.7,37
0.587597382,0.6,0.371105359,0.4,0.719067148,0.7,0.803662296,0.8,38
0.438547045,0.4,0.407745746,0.4,0.672452891,0.7,0.734266837,0.7,39
0.37781007,0.4,0.410192129,0.4,0.724036736,0.7,0.58396201,0.6,40
0.407346068,0.4,0.46503119,0.5,0.792046802,0.8,0.440642401,0.4,41
0.439919878,0.4,0.452064768,0.5,0.811347429,0.8,0.33337195,0.3,42
0.435420554,0.4,0.463865425,0.5,0.780587652,0.8,0.239390406,0.2,43
0.492836384,0.5,0.513081901,0.5,0.774610431,0.8,0.170225747,0.2,44
0.506046829,0.5,0.477664548,0.5,0.752666454,0.8,0.217993383,0.2,45
0.53406156,0.5,0.516815818,0.5,0.787482531,0.8,0.292376387,0.3,46
0.566665396,0.6,0.554171622,0.6,0.821079911,0.8,0.304507706,0.3,47
0.633126406,0.6,0.533094129,0.5,0.774053196,0.8,0.35175618,0.4,48
0.707409193,0.7,0.498617684,0.5,0.639176782,0.6,0.38734878,0.4,49
0.545838595,0.5,0.675056706,0.7,0.522772294,0.5,0.493223331,0.5,50
0.644526015,0.6,0.696842455,0.7,0.733448954,0.7,0.74218372,0.7,51
0.711198878,0.7,0.731284038,0.7,0.633405176,0.6,0.896519822,0.9,52
0.585677598,0.6,0.655747312,0.7,0.649208845,0.6,1,1,53
0.303367112,0.3,0.378205889,0.4,0.449628155,0.4,0.950463025,1,54
0.225969801,0.2,0.175179176,0.2,0.562590354,0.6,0.922028043,0.9,55
0.298447876,0.3,0.056032837,0.1,0.545441845,0.5,0.881300607,0.9,56
0.243624568,0.2,0.280894793,0.3,0.524389865,0.5,0.85679142,0.9,57
0.062804553,0.1,0.386487951,0.4,0.487908316,0.5,0.813346278,0.8,58
0.13807833,0.1,0.445837735,0.4,0.481209107,0.5,0.79563147,0.8,59
0.148719994,0.1,0.40518615,0.4,0.397960437,0.4,0.736649328,0.7,60
0.178210814,0.2,0.400958876,0.4,0.350866481,0.4,0.673302153,0.7,61
0.165283095,0.2,0.444565928,0.4,0.307345784,0.3,0.64978292,0.6,62
0.223271952,0.2,0.456331248,0.5,0.202380224,0.2,0.634399488,0.6,63
0.125811924,0.1,0.530301518,0.5,0.251223079,0.3,0.61199906,0.6,64
0.164868946,0.2,0.633036921,0.6,0.373178492,0.4,0.662504411,0.7,65
0.294358334,0.3,0.782435215,0.8,0.530059422,0.5,0.75484597,0.8,66
0.294857013,0.3,0.902965154,0.9,0.461320178,0.5,0.842061382,0.8,67
0.313971871,0.3,0.924285098,0.9,0.487140491,0.5,0.79119408,0.8,68
0.292753222,0.3,0.89299199,0.9,0.538981715,0.5,0.819529692,0.8,69
0.292923222,0.3,0.86292099,0.9,0.498981715,0.5,0.555100568,0.6,70
0.292923222,0.3,0.86292099,0.9,0.498981715,0.5,0.555100568,0.6,71
