aesthetics,aesRound,memory,memRound,quality,quaRound,anomaly,anomalyRound,index
0.507830018,0.5,0.488636364,0.5,0.504346995,0.5,0.771217378,0.8,0
0.615064131,0.6,0.670454545,0.7,0.501228596,0.5,0.490933336,0.5,1
0.736787222,0.7,0.715909091,0.7,0.551487873,0.6,0.49892437,0.5,2
0.867563987,0.9,0.761363636,0.8,0.513899986,0.5,0.559046187,0.6,3
0.740181118,0.7,0.920454545,0.9,0.616949521,0.6,0.576281803,0.6,4
0.779038883,0.8,0.579545455,0.6,0.322248717,0.3,0.72821903,0.7,5
0.733668089,0.7,0.420454545,0.4,0.59746018,0.6,0.706167802,0.7,6
0.68664938,0.7,0.681818182,0.7,0.798137706,0.8,0.798925502,0.8,7
0.789590734,0.8,0.613636364,0.6,0.782515718,0.8,0.875458761,0.9,8
0.80146908,0.8,0.340909091,0.3,0.764358469,0.8,0.868389219,0.9,9
0.872062265,0.9,0.306818182,0.3,0.750170295,0.8,0.864354257,0.9,10
0.856893443,0.9,0.272727273,0.3,0.783212201,0.8,0.892385575,0.9,11
1,1,0.420454545,0.4,0.602170211,0.6,0.916835086,0.9,12
0.886197615,0.9,0.295454545,0.3,0.59364669,0.6,0.871741025,0.9,13
0.756137133,0.8,0.431818182,0.4,0.572951589,0.6,0.887989335,0.9,14
0.866945362,0.9,0.375,0.4,0.651836601,0.7,0.889306241,0.9,15
0.736062999,0.7,0.147727273,0.1,0.591806468,0.6,0.897628279,0.9,16
0.722689797,0.7,0.272727273,0.3,0.622863522,0.6,0.745884635,0.7,17
0.78516655,0.8,0.170454545,0.2,0.665498185,0.7,0.809256201,0.8,18
0.558612092,0.6,0.306818182,0.3,0.772199802,0.8,0.880525608,0.9,19
0.729147336,0.7,0.295454545,0.3,0.876203861,0.9,0.937595821,0.9,20
0.612803552,0.6,0.090909091,0.1,0.81516606,0.8,0.957509653,1,21
0.624851714,0.6,0.272727273,0.3,0.781622229,0.8,0.900574755,0.9,22
0.55388501,0.6,0.284090909,0.3,0.760382857,0.8,0.859758116,0.9,23
0.538412863,0.5,0.352272727,0.4,0.450388647,0.5,0.739523171,0.7,24
0.581433932,0.6,0.261363636,0.3,0.675306441,0.7,0.723113747,0.7,25
0.624768533,0.6,0.238636364,0.2,0.57409506,0.6,0.700201401,0.7,26
0.644328255,0.6,0.306818182,0.3,0.51666658,0.5,0.743842978,0.7,27
0.695539498,0.7,0.363636364,0.4,0.559036313,0.6,0.793285103,0.8,28
0.70601217,0.7,0.284090909,0.3,0.754631866,0.8,0.754190964,0.8,29
0.94592189,0.9,0.272727273,0.3,0.750285508,0.8,0.644608068,0.6,30
0.778408558,0.8,0.340909091,0.3,0.819550287,0.8,0.604841041,0.6,31
0.777304141,0.8,0.306818182,0.3,0.861925967,0.9,0.581024579,0.6,32
0.801242946,0.8,0.420454545,0.4,0.710835592,0.7,0.515560284,0.5,33
0.766937438,0.8,0.443181818,0.4,0.762993969,0.8,0.505336468,0.5,34
0.744765392,0.7,0.306818182,0.3,0.823526771,0.8,0.469450747,0.5,35
0.724295393,0.7,0.352272727,0.4,0.79921829,0.8,0.508027407,0.5,36
0.686201181,0.7,0.215909091,0.2,0.614359176,0.6,0.496959058,0.5,37
0.79520154,0.8,0.534090909,0.5,0.787752429,0.8,0.543742097,0.5,38
0.718393168,0.7,0.340909091,0.3,0.89031705,0.9,0.728729137,0.7,39
0.645620497,0.6,0.272727273,0.3,0.775883538,0.8,0.742919555,0.7,40
0.542272329,0.5,0.204545455,0.2,0.717707792,0.7,0.613469248,0.6,41
0.862722229,0.9,0.25,0.2,0.59557429,0.6,0.521803369,0.5,42
0.70532626,0.7,0.238636364,0.2,0.619555144,0.6,0.450790113,0.5,43
0.74053674,0.7,0.227272727,0.2,0.669202538,0.7,0.50356114,0.5,44
0.600137533,0.6,0.181818182,0.2,0.776240665,0.8,0.513311267,0.5,45
0.638086648,0.6,0.204545455,0.2,0.725098386,0.7,0.525350864,0.5,46
0.665534283,0.7,0.113636364,0.1,0.766351437,0.8,0.483563154,0.5,47
0.688417498,0.7,0.261363636,0.3,0.717805993,0.7,0.488750661,0.5,48
0.689073668,0.7,0.204545455,0.2,0.667699531,0.7,0.518345909,0.5,49
0.617405195,0.6,0.306818182,0.3,0.704401112,0.7,0.528273735,0.5,50
0.565458427,0.6,0.261363636,0.3,0.797211468,0.8,0.64248603,0.6,51
0.616184445,0.6,0.386363636,0.4,0.70352275,0.7,0.802022386,0.8,52
0.478253061,0.5,0.170454545,0.2,0.886569873,0.9,0.867109783,0.9,53
0.459086985,0.5,0.238636364,0.2,0.768245802,0.8,0.745605405,0.7,54
0.52719559,0.5,0.170454545,0.2,0.652718233,0.7,0.659042352,0.7,55
0.532826785,0.5,0,0,0.707803643,0.7,0.587285391,0.6,56
0.524489907,0.5,0.193181818,0.2,0.684740535,0.7,0.541052825,0.5,57
0.596328916,0.6,0.170454545,0.2,0.724842306,0.7,0.499293897,0.5,58
0.721880597,0.7,0.340909091,0.3,0.829724576,0.8,0.478157756,0.5,59
0.608164294,0.6,0.25,0.2,0.803066698,0.8,0.496106452,0.5,60
0.655364342,0.7,0.090909091,0.1,0.861209622,0.9,0.521811881,0.5,61
0.711798615,0.7,0.022727273,0,0.77055194,0.8,0.451281178,0.5,62
0.598138072,0.6,0.011363636,0,0.854981578,0.9,0.442211925,0.4,63
0.571013736,0.6,0.125,0.1,0.880381785,0.9,0.435668286,0.4,64
0.58618623,0.6,0.193181818,0.2,0.806772035,0.8,0.43197793,0.4,65
0.490007655,0.5,0.147727273,0.1,0.859276174,0.9,0.361152114,0.4,66
0.473640917,0.5,0.181818182,0.2,0.734234836,0.7,0.372509872,0.4,67
0.484440258,0.5,0.318181818,0.3,0.857663723,0.9,0.427502712,0.4,68
0.481781992,0.5,0.318181818,0.3,0.690181598,0.7,0.396645403,0.4,69
0.541547666,0.5,0.329545455,0.3,0.756306963,0.8,0.418967699,0.4,70
0.636063956,0.6,0.352272727,0.4,0.875325371,0.9,0.38013717,0.4,71
0.630053166,0.6,0.340909091,0.3,0.859457544,0.9,0.39276866,0.4,72
0.589478023,0.6,0.306818182,0.3,0.820531747,0.8,0.329228959,0.3,73
0.528735581,0.5,0.318181818,0.3,0.863920742,0.9,0.285028222,0.3,74
0.618524412,0.6,0.261363636,0.3,0.864353977,0.9,0.332927301,0.3,75
0.440326049,0.4,0.204545455,0.2,0.805727532,0.8,0.326313635,0.3,76
0.490002836,0.5,0.272727273,0.3,0.756889977,0.8,0.283527561,0.3,77
0.572775881,0.6,0.318181818,0.3,0.860104043,0.9,0.291821517,0.3,78
0.550598297,0.6,0.465909091,0.5,0.840611812,0.8,0.263338887,0.3,79
0.471041283,0.5,0.306818182,0.3,0.892461306,0.9,0.266902792,0.3,80
0.560162089,0.6,0.306818182,0.3,0.916746201,0.9,0.204350398,0.2,81
0.544685502,0.5,0.375,0.4,1,1,0.261064598,0.3,82
0.53037955,0.5,0.204545455,0.2,0.81533006,0.8,0.318442472,0.3,83
0.48393366,0.5,0.204545455,0.2,0.881867853,0.9,0.187751604,0.2,84
0.462566904,0.5,0.25,0.2,0.790145421,0.8,0.256634661,0.3,85
0.524562076,0.5,0.306818182,0.3,0.837250436,0.8,0.272311436,0.3,86
0.512705966,0.5,0.227272727,0.2,0.695748379,0.7,0.247263363,0.2,87
0.531994469,0.5,0.272727273,0.3,0.692186889,0.7,0.279338769,0.3,88
0.539500726,0.5,0.136363636,0.1,0.74237292,0.7,0.304375434,0.3,89
0.567074305,0.6,0.318181818,0.3,0.759261345,0.8,0.310393434,0.3,90
0.527007202,0.5,0.295454545,0.3,0.844223056,0.8,0.263787304,0.3,91
0.556553247,0.6,0.386363636,0.4,0.718013767,0.7,0.29617941,0.3,92
0.556140483,0.6,0.272727273,0.3,0.744722228,0.7,0.328301587,0.3,93
0.518189712,0.5,0.306818182,0.3,0.726811141,0.7,0.356731215,0.4,94
0.447467427,0.4,0.340909091,0.3,0.742133655,0.7,0.21590832,0.2,95
0.48327406,0.5,0.295454545,0.3,0.653500601,0.7,0.253903793,0.3,96
0.369940262,0.4,0.227272727,0.2,0.800501253,0.8,0.204137773,0.2,97
0.428556364,0.4,0.420454545,0.4,0.775990309,0.8,0.21398197,0.2,98
0.490252505,0.5,0.363636364,0.4,0.770693149,0.8,0.206166881,0.2,99
0.501029646,0.5,0.284090909,0.3,0.746752647,0.7,0.141668042,0.1,100
0.58232765,0.6,0.306818182,0.3,0.772772792,0.8,0.177886346,0.2,101
0.569289638,0.6,0.329545455,0.3,0.817211523,0.8,0.130953512,0.1,102
0.538610542,0.5,0.295454545,0.3,0.777644789,0.8,0.105270986,0.1,103
0.47843957,0.5,0.295454545,0.3,0.786737516,0.8,0.144027715,0.1,104
0.614167511,0.6,0.386363636,0.4,0.781744503,0.8,0.19917228,0.2,105
0.628067729,0.6,0.443181818,0.4,0.824145793,0.8,0.217234616,0.2,106
0.624569034,0.6,0.431818182,0.4,0.800861907,0.8,0.212411985,0.2,107
0.558954998,0.6,0.420454545,0.4,0.880399842,0.9,0.160057169,0.2,108
0.572850768,0.6,0.431818182,0.4,0.744702533,0.7,0.13422169,0.1,109
0.598931253,0.6,0.431818182,0.4,0.836795353,0.8,0.083428786,0.1,110
0.565614668,0.6,0.363636364,0.4,0.710503504,0.7,0.094241424,0.1,111
0.620215998,0.6,0.284090909,0.3,0.741785551,0.7,0.107388549,0.1,112
0.602402386,0.6,0.409090909,0.4,0.857079423,0.9,0.130747118,0.1,113
0.613229962,0.6,0.477272727,0.5,0.825610215,0.8,0.162009318,0.2,114
0.628235902,0.6,0.465909091,0.5,0.820354883,0.8,0.14315396,0.1,115
0.683075152,0.7,0.534090909,0.5,0.809933508,0.8,0.141025604,0.1,116
0.652979522,0.7,0.534090909,0.5,0.791896184,0.8,0.17698723,0.2,117
0.621524189,0.6,0.5,0.5,0.793207837,0.8,0.146884069,0.1,118
0.646869358,0.6,0.363636364,0.4,0.911869161,0.9,0.145339707,0.1,119
0.674643786,0.7,0.329545455,0.3,0.877369649,0.9,0.153212714,0.2,120
0.665732135,0.7,0.363636364,0.4,0.860756993,0.9,0.186063415,0.2,121
0.523348009,0.5,0.261363636,0.3,0.667896476,0.7,0.30112235,0.3,122
0.613922661,0.6,0.431818182,0.4,0.782757292,0.8,0.460281895,0.5,123
0.606239305,0.6,0.295454545,0.3,0.818893887,0.8,0.330073931,0.3,124
0.653797754,0.7,0.431818182,0.4,0.682071791,0.7,0.245349386,0.2,125
0.63815199,0.6,0.488636364,0.5,0.669189087,0.7,0.217317279,0.2,126
0.705687123,0.7,0.465909091,0.5,0.889200312,0.9,0.271801768,0.3,127
0.710274549,0.7,0.477272727,0.5,0.847115384,0.8,0.291171532,0.3,128
0.69369453,0.7,0.409090909,0.4,0.811261826,0.8,0.252514754,0.3,129
0.579300028,0.6,0.545454545,0.5,0.67754962,0.7,0.35158969,0.4,130
0.596102608,0.6,0.465909091,0.5,0.670489923,0.7,0.375782612,0.4,131
0.477852201,0.5,0.375,0.4,0.937553038,0.9,0.47217749,0.5,132
0.42600117,0.4,0.352272727,0.4,0.868041112,0.9,0.76629348,0.8,133
0.390431513,0.4,0.363636364,0.4,0.752604097,0.8,0.920685241,0.9,134
0.275556234,0.3,0.420454545,0.4,0.664540992,0.7,0.95528819,1,135
0.290297354,0.3,0.5,0.5,0.654168669,0.7,0.78895222,0.8,136
0.436518249,0.4,0.602272727,0.6,0.822164486,0.8,0.756351614,0.8,137
0.220764874,0.2,0.511363636,0.5,0.755625698,0.8,0.676882673,0.7,138
0.253885635,0.3,0.443181818,0.4,0.737994171,0.7,0.671946139,0.7,139
0.456419686,0.5,0.818181818,0.8,0.482576862,0.5,0.796441834,0.8,140
0.621881623,0.6,0.568181818,0.6,0.535465807,0.5,0.772532617,0.8,141
0.524660977,0.5,0.488636364,0.5,0.493378162,0.5,0.510669732,0.5,142
0.597397106,0.6,0.5,0.5,0.493126911,0.5,0.193813392,0.2,143
0.58226652,0.6,0.443181818,0.4,0.493709466,0.5,0.156113207,0.2,144
0.5377582,0.5,0.431818182,0.4,0.490336933,0.5,0.158967104,0.2,145
0.515677195,0.5,0.443181818,0.4,0.562178829,0.6,0.165812525,0.2,146
0.546459373,0.5,0.465909091,0.5,0.501082389,0.5,0.148050041,0.1,147
