aesthetics,aesRound,memory,memRound,quality,quaRound,anomaly,anomalyRound,index
0.019952967,0,0.08988764,0.1,0.431636859,0.4,0.594475825,0.6,0
0.396256959,0.4,0.033707865,0,0.491973241,0.5,0.58574422,0.6,1
0.279044162,0.3,0.202247191,0.2,0.434908181,0.4,0.561367095,0.6,2
0.367648978,0.4,0.415730337,0.4,0.874432214,0.9,0.560065661,0.6,3
0.373433918,0.4,0.516853933,0.5,0.778442127,0.8,0.48579164,0.5,4
0.445989286,0.4,0.505617978,0.5,0.619675979,0.6,0.524477145,0.5,5
0.375683463,0.4,0.449438202,0.4,0.890756242,0.9,0.543659384,0.5,6
0,0,0.213483146,0.2,0.284159164,0.3,0.571197566,0.6,7
0.43826033,0.4,0.337078652,0.3,0.024607949,0,0.568626023,0.6,8
0.337710504,0.3,0.426966292,0.4,0.547904088,0.5,0.409059785,0.4,9
0.235085749,0.2,0.292134831,0.3,0.301036045,0.3,0.264158658,0.3,10
0.494889579,0.5,0.370786517,0.4,0.460830803,0.5,0.269126062,0.3,11
0.18406804,0.2,0.258426966,0.3,0.28559059,0.3,0.323211229,0.3,12
0.270301965,0.3,0.370786517,0.4,0.540125866,0.5,0.413128117,0.4,13
0.254240839,0.3,0.404494382,0.4,0.640062129,0.6,0.491366627,0.5,14
0.14320352,0.1,0.191011236,0.2,0.869255123,0.9,0.440691459,0.4,15
0.496755401,0.5,0.303370787,0.3,0.722181288,0.7,0.548641587,0.5,16
0.454068746,0.5,0.258426966,0.3,0.693513154,0.7,0.613792123,0.6,17
0.662508178,0.7,0.269662921,0.3,0.432362086,0.4,0.725300492,0.7,18
0.885535118,0.9,0.280898876,0.3,0.424280197,0.4,0.825588898,0.8,19
0.187482755,0.2,0.258426966,0.3,0.484562499,0.5,0.752212716,0.8,20
0.444592847,0.4,0.314606742,0.3,0.558646325,0.6,0.675511694,0.7,21
0.840102083,0.8,0.303370787,0.3,0.796447613,0.8,0.696877235,0.7,22
0.74110445,0.7,0.08988764,0.1,0.394560823,0.4,0.625271448,0.6,23
0.118254316,0.1,0.415730337,0.4,1,1,0.612501973,0.6,24
0.227276369,0.2,0.247191011,0.2,0.994704091,1,0.627120527,0.6,25
0.252790965,0.3,0.056179775,0.1,0.740588089,0.7,0.659978713,0.7,26
0.267653192,0.3,0,0,0.90322613,0.9,0.533615552,0.5,27
0.405683673,0.4,0.337078652,0.3,0.872126497,0.9,0.622422722,0.6,28
0.221806061,0.2,0.08988764,0.1,0.536842467,0.5,0.828835116,0.8,29
0.25713547,0.3,0.157303371,0.2,0.371362874,0.4,0.634690184,0.6,30
0.270949189,0.3,0.033707865,0,0.357077485,0.4,0.402816846,0.4,31
0.517075395,0.5,0.033707865,0,0.338450345,0.3,0.365388994,0.4,32
0.245475258,0.2,0.02247191,0,0.332091392,0.3,0.280850135,0.3,33
0.19691617,0.2,0.033707865,0,0.123120137,0.1,0.259962557,0.3,34
0.15230834,0.2,0.337078652,0.3,0.351685858,0.4,0.487602548,0.5,35
0.34662258,0.3,0.370786517,0.4,0.211020778,0.2,0.365682333,0.4,36
0.647362382,0.6,0.539325843,0.5,0.735314694,0.7,0.458863383,0.5,37
0.52513667,0.5,0.426966292,0.4,0.270277051,0.3,0.599993895,0.6,38
0.423788226,0.4,0.438202247,0.4,0.374831228,0.4,0.584214934,0.6,39
0.297152798,0.3,0.449438202,0.4,0.267500809,0.3,0.347413472,0.3,40
0.493933582,0.5,0.382022472,0.4,0.459529975,0.5,0.179125064,0.2,41
0.425264472,0.4,0.426966292,0.4,0.443979018,0.4,0.136520949,0.1,42
0.703950771,0.7,0.550561798,0.6,0.015452488,0,0.173629378,0.2,43
0.34728095,0.3,0.494382022,0.5,0.286719586,0.3,0.162411449,0.2,44
0.251398127,0.3,0.505617978,0.5,0.312700715,0.3,0.103857808,0.1,45
0.495661825,0.5,0.505617978,0.5,0.316419506,0.3,0.051057982,0.1,46
0.527252768,0.5,0.494382022,0.5,0.356443778,0.4,0.046022377,0,47
