aesthetics,memory,quality,anomaly
0.758116039,0.155035285,0.85219297,0.297164409
0.773315375,0.157955226,0.862204656,0.172493723
0.759780195,0.162077762,0.856191944,0.190746513
0.780367034,0.170263048,0.85701063,0.194350804
0.773735641,0.163713794,0.878763643,0.171538459
0.768058871,0.161964891,0.868247543,0.177434018
0.763912981,0.164438606,0.877482598,0.185652465
0.76478519,0.169821053,0.871981286,0.168532895
0.760533099,0.174099989,0.864633491,0.17965469
0.753812339,0.164760863,0.881557871,0.176358765
0.766008688,0.169025291,0.884852624,0.179680047
0.766221996,0.165633534,0.87763874,0.177682074
0.761881913,0.166783051,0.867032024,0.185015755
0.763755244,0.16619813,0.856956618,0.17960711
0.772324325,0.17048816,0.878369321,0.181777466
0.76792553,0.167400153,0.859432146,0.177566669
0.77549286,0.164136683,0.859347911,0.181465771
0.769570452,0.173186122,0.868451603,0.179751236
0.775747019,0.173699609,0.868369121,0.182663223
0.771105176,0.175209101,0.883848052,0.179095598
0.764107741,0.170382721,0.851227821,0.179974497
0.765865026,0.173430167,0.848126378,0.182370982
0.775569099,0.176018762,0.833798992,0.182394887
0.775477258,0.170053269,0.827356213,0.173110419
0.777128469,0.175578466,0.833965528,0.18387205
0.780824067,0.171305749,0.861977145,0.179067505
0.78868709,0.17069052,0.85615772,0.179646414
0.783351573,0.174149115,0.863415481,0.181371963
0.768317893,0.170843654,0.87474424,0.175695247
0.765758238,0.169258284,0.875253916,0.179546835
0.768032616,0.17110255,0.865183628,0.182710275
0.763829794,0.16773,0.843409643,0.172325
0.763032101,0.172479468,0.863381892,0.189340573
0.775658534,0.175851971,0.871677344,0.174535682
0.766780022,0.178333972,0.883019168,0.195150171
0.771512871,0.170074995,0.865069481,0.174990249
0.382946653,0.494672387,0.591488277,0.276460497
0.590615795,0.642504917,0.061917182,0.819660524
0.599209667,0.669147793,0.067585678,0.888422177
0.59684621,0.675358443,0.068009309,0.832898962
0.588035716,0.678892001,0.059638326,0.343828508
0.576182905,0.681403601,0.055498725,0.139189172
0.595748579,0.687810897,0.073814104,0.057904433
0.607309743,0.679131541,0.066592166,0.058603034
0.596625692,0.681322764,0.072304208,0.056236555
0.590486238,0.679195826,0.065285931,0.061622547
0.599932959,0.672058768,0.050279298,0.059922849
0.599830599,0.675443075,0.093119971,0.056160321
0.600254964,0.672840147,0.078662888,0.057317281
0.593804548,0.684206126,0.061374417,0.061067345
0.631138767,0.683265811,0.064264895,0.057558413
0.59374221,0.676549069,0.060459318,0.062431608
