video,videoNum,aesthetics,memory,quality,anomaly
HC3,1,0.455879468,0.435009517,0.432418323,0.211372534
HC4,2,0.249686353,0.259159724,0.530865539,0.100586994
IP2,3,0.446327916,0.417177658,0.720191568,0.289893926
IP5,4,0.618434048,0.4075385,0.649920627,0.435115509
Air,5,0.44689365,0.309831761,0.555025214,0.279277603
Car,6,0.653036539,0.375749473,0.638458764,0.260070124
ST,7,0.363362996,0.505777281,0.677666062,0.441584485

