IP2,IP5
-0.074593734,-0.004156016
0.140140973,0.06698256
-0.014620513,-0.050094888
-0.215821974,0.137338259
-0.056270644,-0.392759614
-0.006023672,0.366785385
0.230131071,0.26745101
0.030465465,-0.020820051
0.115708821,-0.024198897
0.329515263,-0.018909149
-0.294721018,0.044036277
0.318957496,-0.241281942
-0.279072649,-0.011359639
0.230529963,-0.027581193
0.263138697,0.105133228
-0.327836733,-0.080004573
0.142672348,0.041390985
-0.111107129,0.05682093
0.308876991,0.142205536
-0.019204352,0.138610393
-0.160657741,-0.081347533
-0.249676265,-0.044705212
0.326826915,-0.028306566
-0.255274571,-0.41314175
0.154399101,0.299756989
0.253160987,-0.134888478
0.108778923,-0.076537244
-0.367549833,0.056467846
0.121345226,0.260678061
0.078546167,-0.005792566
0.511790514,0.092311956
0.027151756,0.056475773
-0.228718967,-0.201364219
0.16634978,0.069513567
-0.052229024,0.080674499
-0.064057108,-0.03239689
-0.080737874,-0.246369176
0.204927005,0.231088162
0.204979404,0.136691995
-0.245361819,-0.152510144
0.087826747,-0.077533156
-0.057647716,-0.16277223
-0.034973994,0.031960249
0.125990532,0.066167078
-0.347237959,0.142654017
0.344424732,-0.068159372
-0.172520511,0.0549796
0.00867369,-0.064698465
-0.398897111,-0.066778898
0.486550834,0.048913673
0.034944508,0.123692095
0.019774865,-0.124862723
-0.260606467,0.243954263
0.047979418,-0.157695248
0.123583775,-0.153968238
0.011704802,0.073414542
0.01346964,-0.030737132
-0.111810334,0.053445243
0.085537412,0.139780819
-0.073569898,-0.035528026
0.118164353,0.077489413
0.11859468,-0.120823138
-0.057704478,0.112522774
0.032744251,0.033851877
-0.114769168,-0.098102674
0.076053802,0.069974378
-0.11617807,-0.166647621
0.206432164,0.164498642
-0.352215297,-0.223210163
-0.169624717,0.088127933
0.102139995,0.158620619
0.062614039,-0.021147691
0.324781175,-0.051877976
-0.090991396,0.057826259
-0.063719731,0.00057739
0.003208328,-0.078133822
0.149497323,-0.065087773
-0.161871992,0.137557537
0.087426722,-0.025978081
-0.037146773,0.069101907
0.096659619,0.032365456
-0.005135946,0.110955686
-0.035321191,-0.246117056
-0.079585843,0.088677593
-0.021967672,-0.122242175
0.071514827,0.062778748
-0.044431545,-0.188585482
0.151341956,-0.004746541
-0.045077909,0.066884942
0.085276138,0.022507883
-0.057231359,0.11323189
0.001076423,-0.168204195
-0.181100015,0.035595439
-0.035811331,-0.023870826
0.003130801,0.020420931
0.011950333,-0.118124835
-0.041420538,0.19591368
0.0411124,-0.03266672
-0.080403991,-0.007059738
0.131147027,-0.031906471
-0.002308316,0.034678094
-0.020660308,0.059225284
-0.069405276,-0.052732177
-0.014672104,0.012118242
-0.013580885,-0.006654389
0.14582891,0.056509905
-0.152146596,-0.031031371
-0.047193136,0.106003404
0.080077815,-0.180849261
-0.021564435,0.122735805
-0.025449209,-0.168314226
-0.002730406,0.041690842
0.079480938,0.15365678
-0.029394872,-0.041940279
-0.085311339,-0.007003993
0.015079357,-0.013888985
0.144080218,-0.024039067
-0.086558338,0.001748093
0.054299868,0.158144719
0.012364071,-0.045978888
0.056839358,-0.022140354
-0.057860404,-0.257032968
-0.066384379,0.153079629
-0.016017418,0.048160694
0.012147967,-0.182348311
0.000604953,-0.017169297
-0.079161361,0.293217808
0.143783402,-0.056088276
-0.052147094,-0.047783479
-0.055602044,-0.178203635
-0.010850206,-0.009408742
0.00152484,0.355925754
0.076977174,-0.092641339
-0.027668494,-0.153847553
-0.084374961,-0.117365241
-0.027640603,-0.013823613
0.164389588,0.223894782
0.014067418,-0.088678919
-0.060507096,-0.023498244
-0.095630731,-0.340404921
-0.045496554,0.070487224
-0.109378177,-0.056091897
0.085002973,-0.000334852
0.050552443,0.000776395
-0.032933839,-0.004494711
0.017239359,0.095746584
0.008698683,-0.081425682
-0.035688505,0.089964979
0.022614483,-0.140330479
0.045796469,0.050082937
-0.145729698,-0.015778184
0.160607204,0.019469045
-0.154821858,0.097275503
0.060940165,-0.046154588
-0.011561349,-0.010758564
-0.039571054,-0.018514872
0.052991297,-0.082907088
-0.084173337,0.100604817
-0.077036712,-0.128140986
-0.154171616,0.195510701
-0.252948299,-0.381311644
-0.55058324,-0.107861292
0.381906551,0.29227797
-0.206010931,0.146780647
-0.090649254,-0.403552949
0.042184207,-0.324468606
-0.018544722,0.054048911
-0.181958403,0.078137752
-0.370332286,0.064037051
0.643565956,-0.027992983
-0.161690503,-0.028174281
0.08896514,-0.039153497
-0.04410816,-0.072682318
0.050510325,0.068581484
-0.010790799,-0.071966309
-0.036157068,0.009944227
0.14574698,0.045164909
-0.077382464,0.017339163
0.063992091,0.006765336
-0.095843189,-0.033128333
0.004425861,-0.003407661
